981297 function calls (969090 primitive calls) in 0.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 lines.py:1(<module>)
       94    0.001    0.000    0.014    0.000 __init__.py:1391(_preprocess_data)
 1242/230    0.007    0.000    0.014    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.014    0.014 font_manager.py:1(<module>)
    67035    0.013    0.000    0.013    0.000 {built-in method builtins.getattr}
146588/145293    0.012    0.000    0.012    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.012    0.012 image.py:1(<module>)
      954    0.001    0.000    0.012    0.000 artist.py:1542(is_alias)
     4252    0.005    0.000    0.011    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
    55163    0.011    0.000    0.011    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _pickle.py:1(<module>)
    60503    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.010    0.010 axis3d.py:1(<module>)
      317    0.001    0.000    0.010    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.010    0.010 Image.py:1(<module>)
        1    0.000    0.000    0.009    0.009 pyparsing.py:6398(pyparsing_common)
    27/22    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
    27/22    0.004    0.000    0.009    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.009    0.009 quiver.py:1(<module>)
      875    0.007    0.000    0.009    0.000 inspect.py:2920(__init__)
      282    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
15688/15684    0.007    0.000    0.009    0.000 {method 'join' of 'str' objects}
    77826    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
      331    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.008    0.008 cm.py:1(<module>)
        1    0.000    0.000    0.008    0.008 font_manager.py:1564(_load_fontmanager)
        1    0.000    0.000    0.008    0.008 utils.py:1(<module>)
        1    0.000    0.000    0.008    0.008 font_manager.py:970(json_load)
        1    0.000    0.000    0.008    0.008 __init__.py:274(load)
        1    0.000    0.000    0.008    0.008 scale.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:299(loads)
        1    0.000    0.000    0.007    0.007 decoder.py:332(decode)
        1    0.002    0.002    0.007    0.007 decoder.py:343(raw_decode)
       48    0.000    0.000    0.007    0.000 __init__.py:1347(_add_data_doc)
       27    0.000    0.000    0.007    0.000 pyparsing.py:3294(__init__)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
    74/70    0.000    0.000    0.007    0.000 typing.py:401(__getitem__)
       18    0.000    0.000    0.007    0.000 rcsetup.py:799(validate_cycler)
       70    0.000    0.000    0.007    0.000 typing.py:483(Union)
      185    0.001    0.000    0.007    0.000 typing.py:1016(__init__)
        1    0.000    0.000    0.007    0.007 textpath.py:1(<module>)
        1    0.000    0.000    0.007    0.007 numerictypes.py:1(<module>)
        1    0.000    0.000    0.007    0.007 platform.py:1(<module>)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
     2895    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      564    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
        3    0.000    0.000    0.006    0.002 patches.py:2211(__init_subclass__)
        1    0.000    0.000    0.006    0.006 _array_like.py:1(<module>)
        6    0.000    0.000    0.006    0.001 patches.py:2253(pprint_styles)
        1    0.000    0.000    0.006    0.006 category.py:1(<module>)
     8799    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
      278    0.001    0.000    0.006    0.000 overrides.py:83(verify_matching_signatures)
        6    0.000    0.000    0.005    0.001 patches.py:2257(<listcomp>)
        1    0.000    0.000    0.005    0.005 table.py:1(<module>)
      686    0.004    0.000    0.005    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
        2    0.000    0.000    0.005    0.003 version.py:1(<module>)
       51    0.002    0.000    0.005    0.000 {built-in method builtins.eval}
     1306    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.005    0.005 _type_aliases.py:1(<module>)
     1307    0.002    0.000    0.005    0.000 font_manager.py:928(_json_decode)
      230    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
     8524    0.003    0.000    0.005    0.000 sre_parse.py:165(__getitem__)
      349    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1333    0.005    0.000    0.005    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _parser.py:1(<module>)
        2    0.000    0.000    0.005    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 legend.py:1(<module>)
     6001    0.002    0.000    0.005    0.000 sre_parse.py:255(get)
      591    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
     7315    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
       13    0.000    0.000    0.004    0.000 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
      309    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      409    0.001    0.000    0.004    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.004    0.004 _tricontour.py:1(<module>)
        1    0.000    0.000    0.004    0.004 secrets.py:1(<module>)
       33    0.002    0.000    0.004    0.000 __init__.py:328(namedtuple)
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
       12    0.000    0.000    0.004    0.000 pyparsing.py:1901(parseString)
        1    0.000    0.000    0.004    0.004 transforms.py:1(<module>)
 1479/472    0.003    0.000    0.004    0.000 sre_parse.py:175(getwidth)
    34530    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     9088    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
       10    0.000    0.000    0.004    0.000 pyparsing.py:5120(__init__)
      282    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
      111    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
     32/9    0.000    0.000    0.004    0.000 pyparsing.py:4466(leaveWhitespace)
      317    0.001    0.000    0.004    0.000 function_base.py:497(add_newdoc)
    45/12    0.001    0.000    0.004    0.000 typing.py:1046(__getitem__)
        1    0.000    0.000    0.004    0.004 py3k.py:1(<module>)
      430    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       32    0.000    0.000    0.004    0.000 colors.py:1036(from_list)
      417    0.000    0.000    0.003    0.000 pyparsing.py:1423(copy)
     1647    0.002    0.000    0.003    0.000 typing.py:986(__setattr__)
      282    0.003    0.000    0.003    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
     7235    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
   306/12    0.001    0.000    0.003    0.000 pyparsing.py:1647(_parseNoCache)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
     2895    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
    72/12    0.000    0.000    0.003    0.000 pyparsing.py:4049(parseImpl)
      234    0.002    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 version.py:257(Version)
      412    0.000    0.000    0.003    0.000 colors.py:221(is_color_like)
      779    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
      356    0.001    0.000    0.003    0.000 inspect.py:663(_finddoc)
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
       39    0.000    0.000    0.003    0.000 typing.py:407(__getitem__)
      417    0.001    0.000    0.003    0.000 copy.py:66(copy)
     2674    0.002    0.000    0.003    0.000 cbook.py:405(_strip_comment)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
      779    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      346    0.001    0.000    0.003    0.000 typing.py:146(_type_check)
       39    0.000    0.000    0.003    0.000 typing.py:532(Literal)
      241    0.000    0.000    0.003    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
       35    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
     56/9    0.000    0.000    0.003    0.000 pyparsing.py:3897(leaveWhitespace)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
      438    0.001    0.000    0.003    0.000 colors.py:268(to_rgba)
   116/58    0.000    0.000    0.003    0.000 pyparsing.py:3968(copy)
    31485    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
       18    0.000    0.000    0.003    0.000 rcsetup.py:662(cycler)
       70    0.000    0.000    0.003    0.000 deprecation.py:257(rename_parameter)
      968    0.002    0.000    0.003    0.000 numeric.py:1330(normalize_axis_tuple)
        1    0.000    0.000    0.003    0.003 _mathtext.py:1(<module>)
       10    0.000    0.000    0.003    0.000 pyparsing.py:3140(__init__)
     3001    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x64bc5c0659a0}
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:1(<module>)
      331    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
      605    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      309    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      419    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.002    0.002 __init__.py:240(_check_versions)
        6    0.000    0.000    0.002    0.000 __init__.py:108(import_module)
      134    0.000    0.000    0.002    0.000 inspect.py:3014(replace)
       65    0.001    0.000    0.002    0.000 deprecation.py:128(deprecate)
